218.35	2.9558101739
219.45	2.4715702023
220.55	1.976956587
221.75	1.3162395671
223.15	0.7291973694
224.75	0.3078660982
226.55	-0.4572189654
228.45	-0.9152553928
230.15	-1.1816596914
231.95	-1.3428605213
233.75	-1.337990165
235.45	-0.1987705456
237.15	1.1084425318
238.65	2.9287000702
240.35	5.7732520202
241.95	10.5600485236
243.75	16.1575508945
245.25	21.9575497011
247.05	31.4790103612
248.65	45.128524562
250.25	56.7430199986
251.95	75.2315351353
253.65	88.6783736512
255.35	102.082386384
256.95	115.54010247
258.55	118.957826372
260.15	118.334521072
261.75	110.669122664
263.65	93.635282249
265.65	76.4265398792
267.95	58.7975518504
269.95	36.4314985567
272.05	18.8642933793
274.15	6.2093646044
276.25	-0.5362853583
278.05	-1.9642532961
280.05	-1.7452886564
281.75	-0.180156596
283.55	0.1685312553
285.55	1.1316736749
287.35	1.3141604299
289.15	2.4143230256
291.15	2.0928004327
293.15	2.6632702113
295.05	2.3019768266
296.95	1.8369310774
298.85	1.2649304602
300.65	0.7792800159
302.55	4.9894323075
304.55	5.8736732011
306.45	11.8398047224
308.45	22.4590400578
310.45	32.9358238549
312.35	43.5026053911
314.35	48.6881482765
316.35	58.717137027
318.35	63.5844808929
320.35	60.2849235858
322.35	52.8130378957
324.25	37.4500254761
326.15	21.9214740343

