x-axis,1,2
second,Volt,Volt
+8.4000E-03,,
+8.4100E-03,-63.7814E-03,-15.0251E-03
+8.4200E-03,-32.1231E-03,-16.2814E-03
+8.4300E-03,-15.5402E-03,-15.0251E-03
+8.4400E-03,+15.6156E-03,-16.2814E-03
+8.4500E-03,+40.7412E-03,-15.0251E-03
+8.4600E-03,+57.3241E-03,-15.0251E-03
+8.4700E-03,+85.4648E-03,-15.0251E-03
+8.4800E-03,+113.1030E-03,-15.0251E-03
+8.4900E-03,+132.1985E-03,-15.0251E-03
+8.5000E-03,+153.3040E-03,-15.0251E-03
+8.5100E-03,+177.4246E-03,-15.0251E-03
+8.5200E-03,+201.5452E-03,-15.0251E-03
+8.5300E-03,+225.6658E-03,-15.0251E-03
+8.5400E-03,+242.2487E-03,-15.0251E-03
+8.5500E-03,+265.8668E-03,-15.0251E-03
+8.5600E-03,+289.9874E-03,-15.0251E-03
+8.5700E-03,+302.5502E-03,-15.0251E-03
+8.5800E-03,+313.1030E-03,-12.5125E-03
+8.5900E-03,+322.1482E-03,+5.0754E-03
+8.6000E-03,+330.1884E-03,-15.0251E-03
+8.6100E-03,+338.2286E-03,-15.0251E-03
+8.6200E-03,+346.2688E-03,-16.2814E-03
+8.6300E-03,+338.2286E-03,-15.0251E-03
+8.6400E-03,+346.7714E-03,+3.8191E-03
+8.6500E-03,+355.3141E-03,-15.0251E-03
+8.6600E-03,+354.3090E-03,-15.0251E-03
+8.6700E-03,+349.2839E-03,-15.0251E-03
+8.6800E-03,+361.3442E-03,-32.6130E-03
+8.6900E-03,+357.3241E-03,-2.4623E-03
+8.7000E-03,+354.8116E-03,-15.0251E-03
+8.7100E-03,+357.3241E-03,-15.0251E-03
+8.7200E-03,+362.3492E-03,-16.2814E-03
+8.7300E-03,+357.3241E-03,-17.5377E-03
+8.7400E-03,+361.3442E-03,-15.0251E-03
+8.7500E-03,+358.8317E-03,-15.0251E-03
+8.7600E-03,+361.3442E-03,-16.2814E-03
+8.7700E-03,+362.3492E-03,-15.0251E-03
+8.7800E-03,+361.3442E-03,-15.0251E-03
+8.7900E-03,+358.8317E-03,-6.2311E-03
+8.8000E-03,+362.3492E-03,+3.8191E-03
+8.8100E-03,+354.3090E-03,-15.0251E-03
+8.8200E-03,+354.3090E-03,-15.0251E-03
+8.8300E-03,+354.3090E-03,-15.0251E-03
+8.8400E-03,+354.8116E-03,-15.0251E-03
+8.8500E-03,+358.8317E-03,-22.5628E-03
+8.8600E-03,+354.3090E-03,+3.8191E-03
+8.8700E-03,+350.7915E-03,-15.0251E-03
+8.8800E-03,+353.3040E-03,-32.6130E-03
+8.8900E-03,+354.3090E-03,-15.0251E-03
+8.9000E-03,+354.3090E-03,+3.8191E-03
+8.9100E-03,+342.7513E-03,-15.0251E-03
+8.9200E-03,+345.2638E-03,-16.2814E-03
+8.9300E-03,+341.2437E-03,+5.0754E-03
+8.9400E-03,+337.2236E-03,-16.2814E-03
+8.9500E-03,+338.2286E-03,-22.5628E-03
+8.9600E-03,+337.2236E-03,-12.5125E-03
+8.9700E-03,+326.6709E-03,-22.5628E-03
+8.9800E-03,+314.1080E-03,-15.0251E-03
+8.9900E-03,+314.1080E-03,-2.4623E-03
+9.0000E-03,+290.4899E-03,-31.3568E-03
+9.0100E-03,+284.9623E-03,-15.0251E-03
+9.0200E-03,+266.3693E-03,-32.6130E-03
+9.0300E-03,+260.8417E-03,-15.0251E-03
+9.0400E-03,+242.2487E-03,-15.0251E-03
+9.0500E-03,+233.7060E-03,-15.0251E-03
+9.0600E-03,+217.6256E-03,-15.0251E-03
+9.0700E-03,+201.5452E-03,-15.0251E-03
+9.0800E-03,+177.9271E-03,-35.1256E-03
+9.0900E-03,+169.3844E-03,-17.5377E-03
+9.1000E-03,+145.2638E-03,+2.5628E-03
+9.1100E-03,+129.1834E-03,-15.0251E-03
+9.1200E-03,+112.0980E-03,-15.0251E-03
+9.1300E-03,+97.0226E-03,-15.0251E-03
+9.1400E-03,+65.8668E-03,-15.0251E-03
+9.1500E-03,+55.3141E-03,-15.0251E-03
+9.1600E-03,+39.7362E-03,-16.2814E-03
+9.1700E-03,+24.6608E-03,-15.0251E-03
+9.1800E-03,-464.8E-06,-12.5125E-03
+9.1900E-03,-18.5553E-03,-15.0251E-03
+9.2000E-03,-39.6608E-03,-15.0251E-03
+9.2100E-03,-66.7965E-03,-22.5628E-03
+9.2200E-03,-94.9372E-03,-15.0251E-03
+9.2300E-03,-103.9824E-03,-22.5628E-03
+9.2400E-03,-121.0678E-03,-15.0251E-03
+9.2500E-03,-160.2638E-03,-15.0251E-03
+9.2600E-03,-175.3392E-03,-16.2814E-03
+9.2700E-03,-200.4648E-03,-15.0251E-03
+9.2800E-03,-225.0879E-03,-32.6130E-03
+9.2900E-03,-248.7060E-03,-15.0251E-03
+9.3000E-03,-271.8216E-03,+3.8191E-03
+9.3100E-03,-297.9523E-03,-2.4623E-03
+9.3200E-03,-313.5301E-03,-15.0251E-03
+9.3300E-03,-329.1080E-03,-15.0251E-03
+9.3400E-03,-361.2688E-03,+5.0754E-03
+9.3500E-03,-377.3492E-03,-26.3316E-03
+9.3600E-03,-393.9322E-03,+3.8191E-03
+9.3700E-03,-420.5653E-03,-35.1256E-03
+9.3800E-03,-440.6658E-03,-16.2814E-03
+9.3900E-03,-452.7261E-03,-22.5628E-03
+9.4000E-03,-465.7915E-03,+3.8191E-03
+9.4100E-03,-478.3543E-03,-11.2563E-03
+9.4200E-03,-496.9472E-03,-16.2814E-03
